禁止,制限,準制限,無制限,初登場
,,,八汰烏の骸,
,,,マシュマロンのメガネ,
,,,地縛霊の誘い,
,,,もけもけ,
,,,ギゴバイト,
,,,コザッキー,
,,,デビルスコーピオン,
,,,ファラオのしもべ,
,,,王家の守護者,
,,,スピリッツ・オブ・ファラオ,
,,,ナイトメアテーベ,
,,,アスワンの亡霊,
,,,ヌビアガード,
,,,レガシーハンター,
,,,砂バク,
,,,サンド・ギャンブラー,
,,,みつこぶラクーダ,
,,,ジャッカルの霊騎士,
,,,吸収天児,
,,,恵みの像,
,,,災いの像,
,,,魂を呼ぶ者,
,,,冥界の使者,
,,,グレイヴ・キーパー,
,,,ダブルコストン,
,,,再生ミイラ,
,,,人投げトロール,
,,,沼地の魔神王,
,,,オアシスの使者,
,,,スペシャルハリケーン,
,,,突撃指令,
,,,魂喰らいの魔刀,
,,,砂塵の結界,
,,,リバースソウル,
,,,魔力倹約術,
,,,ナイルの恵み,
,,,7,
,,,魔の試着部屋,
,,,弱肉一色,
,,,黒・魔・導,
,,,デルタ・アタッカー,
,,,サウザンドエナジー,
,,,トライアングルパワー,
,,,第三の棺,
,,,第二の棺,
,,,第一の棺,
,,,運命のドラ,
,,,砂漠の裁き,
,,,人海戦術,
,,,アヌビスの呪い,
,,,砂漠の光,
,,,デスカウンター,
,,,悪夢の迷宮,
,,,蘇りし魂,
,,,玉砕指令,
,,,エンド・オブ・アヌビス,
,,,破壊竜ガンドラ,
,,,異次元からの帰還,
,,,光のピラミッド,
,,,青眼の光龍,
,,,ファミリア・ナイト,
,,,レアメタル・ドラゴン,
,,,闇・道化師のペーテン,
,,,黒の魔法神官,
,,,アンドロ・スフィンクス,
,,,スフィンクス・テーレイア,
,,,スフィンクス・アンドロジュネス,
,,,ヘル・テンペスト,
,,,ワタポン,
,,,大木炭１８,
,,,ネオアクア・マドール,
,,,骨犬マロン,
,,,スカゴブリン,
,,,アルティメット・インセクト LV１,
,,,ホルスの黒炎竜 LV４,
,,,ホルスの黒炎竜 LV６,
,,,ホルスの黒炎竜 LV８,
,,,暗黒のミミック LV１,
,,,暗黒のミミック LV３,
,,,ミスティック・ソードマン LV２,
,,,ミスティック・ソードマン LV４,
,,,アームド・ドラゴン LV３,
,,,アームド・ドラゴン LV５,
,,,アームド・ドラゴン LV７,
,,,ホルスのしもべ,
,,,黒竜の雛,
,,,怨念のキラードール,
,,,忍者マスター SASUKE,
,,,幻惑のラフレシア,
,,,超熱血球児,
,,,氷帝メビウス,
,,,エレメント・ドラゴン,
,,,エレメント・ソルジャー,
,,,共鳴虫,
,,,仮面竜,
,,,マインド・オン・エア,
,,,ヒゲアンコウ,
,,,トロイホース,
,,,使徒喰い虫,
,,,激昂のムカムカ,
,,,派手ハネ,
,,,月の女戦士,
,,,おジャマ・キング,
,,,マスター・オブ・OZ,
,,,クリッチー,
,,,闇の量産工場,
,,,ハンマーシュート,
,,,記憶抹消,
,,,深淵の指名者,
,,,レベルアップ！,
,,,黒炎弾,
,,,四次元の墓,
,,,ツーマンセルバトル,
,,,大波小波,
,,,フュージョン・ウェポン,
,,,リチュアル・ウェポン,
,,,挑発,
,,,絶体絶命,
,,,スピリットバリア,
,,,忍法 空蝉の術,
,,,衰弱の霧,
,,,大暴落,
,,,グリード,
,,,マインドクラッシュ,
,,,セメタリー・ボム,
,,,ホーリーライフバリアー,
,,,THE トリッキー,
,,,グリーン・ガジェット,
,,,機動砦 ストロング・ホールド,
