禁止,制限,準制限,無制限,初登場
,,,おジャマ・イエロー,
,,,おジャマ・ブラック,
,,,魂虎,
,,,ビッグ・コアラ,
,,,デス・カンガルー,
,,,赤い忍者,
,,,速攻の黒い忍者,
,,,爆風トカゲ,
,,,強欲な壺の精霊,
,,,凶悪犯－チョップマン,
,,,大盤振舞侍,
,,,異次元の偵察機,
,,,怒れる類人猿,
,,,放浪の勇者 フリード,
,,,鬼ゴブリン,
,,,混沌の呪術師,
,,,カオス・ネクロマンサー,
,,,カオスライダー グスタフ,
,,,インフェルノ,
,,,フェンリル,
,,,ギガンテス,
,,,シルフィード,
,,,紅蓮魔獣 ダ・イーザ,
,,,風魔手裏剣,
,,,凡骨の意地,
,,,野性解放,
,,,おジャマ・デルタハリケーン！！,
,,,つまずき,
,,,カオス・エンド,
,,,カオス・グリード,
,,,異次元の指名者,
,,,異次元の境界線,
,,,リサイクル,
,,,原初の種,
,,,サンダー・クラッシュ,
,,,次元の歪み,
,,,リロード,
,,,魂吸収,
,,,大火葬,
,,,残骸爆破,
,,,封魔の呪印,
,,,バベル・タワー,
,,,宇宙の収縮,
,,,連鎖除外,
,,,重力解除,
,,,邪悪なるバリア －ダーク・フォース－,
,,,エナジー・ドレイン,
,,,マジシャンズ・ヴァルキリア,
,,,ギガ・ガガギゴ,
,,,暗黒の狂犬,
,,,ネオバグ,
,,,暗黒の海竜兵,
,,,ジェノサイドキングサーモン,
,,,火炎木人１８,
,,,燃える藻,
,,,火口に潜む者,
,,,灼熱ゾンビ,
,,,ステルスバード,
,,,聖鳥クレイン,
,,,激昂のミノタウルス,
,,,首領亀,
,,,バルーン・リザード,
,,,暗黒ドリケラトプス,
,,,ハイパーハンマーヘッド,
,,,暗黒恐獣,
,,,対空放花,
,,,棘の妖精,
,,,インセクト・プリンセス,
,,,水陸両用バグロス Mk－３,
,,,魚雷魚,
,,,海竜－ダイダロス,
,,,暗黒大要塞鯱,
,,,砲弾ヤリ貝,
,,,不意打ち又佐,
,,,守護天使 ジャンヌ,
,,,マンジュ・ゴッド,
,,,月風魔,
,,,龍骨鬼,
,,,グリフォンの羽根帚,
,,,迷える仔羊,
,,,光と闇の洗礼,
,,,サルベージ,
,,,超進化薬,
,,,大地讃頌,
,,,翡翠の蟲笛,
,,,破壊指輪,
,,,悪魔の手鏡,
,,,強制脱出装置,
,,,ヒーロー見参,
,,,自爆スイッチ,
,,,暗黒の呪縛,
,,,門前払い,
,,,DNA移植手術,
,,,追い剥ぎゾンビ,
,,,トラップ・ジャマー,
,,,暗黒の侵略者,
,,,ツインヘデッド・ビースト,
,,,ウィングド・ライノ,
,,,Ulevo,
,,,ブレイン・クラッシャー,
,,,アビス・ソルジャー,
,,,バイトロン,
,,,Meteo the Matchless,
,,,インフェルノ・ハンマー,
,,,エメス・ザ・インフィニティ,
,,,D.D.アサイラント,
,,,テーヴァ,
,,,幻影のゴラ亀,
,,,死霊ゾーマ,
,,,マキシマム・シックス,
,,,デンジャラスマシン TYPE－６,
,,,ゴギガ・ガガギゴ,
,,,ゼラの戦士,
,,,封印師 メイセイ,
,,,神聖なる球体,
,,,鉄鋼装甲虫,
,,,裁きの代行者 サターン,
,,,英知の代行者 マーキュリー,
,,,創造の代行者 ヴィーナス,
,,,力の代行者 マーズ,
,,,薄幸の乙女,
,,,精気を吸う骨の塔,
,,,ザ・キックマン,
,,,ヴァンパイア・レディ,
,,,ロケット・ジャンパー,
,,,壺魔神,
,,,伝説の柔術家,
,,,KA－２ デス・シザース,
,,,ニードルバンカー,
,,,ブローバック・ドラゴン,
,,,雷帝ザボルグ,
,,,原子ホタル,
,,,マーメイド・ナイト,
,,,軍隊ピラニア,
,,,針二千本,
,,,円盤闘士,
,,,深緑の魔弓使い,
,,,女忍者ヤエ,
,,,キングゴブリン,
,,,プロミネンス・ドラゴン,
,,,白魔導士ピケル,
,,,大天使ゼラート,
,,,光学迷彩アーマー,
,,,神秘の中華なべ,
,,,滅びの爆裂疾風弾,
,,,モンスターゲート,
,,,ウェポンチェンジ,
,,,天空の聖域,
,,,アースクエイク,
,,,罠封印の呪符,
,,,盗人ゴブリン,
,,,バックファイア,
,,,ミクロ光線,
,,,裁きの光,
,,,魔法封印の呪符,
,,,ソーラーレイ,
,,,忍法 変化の術,
,,,光の召集,
,,,ドレインシールド,
,,,アーマーブレイク,
,,,デビルマゼラ,
,,,死霊騎士デスカリバー・ナイト,
,,,シールドクラッシュ,
,,,ヂェミナイ・デビル,
,,,リターン・ゾンビ,
,,,八汰烏の骸,
,,,マシュマロンのメガネ,
,,,地縛霊の誘い,
,,,もけもけ,
,,,ギゴバイト,
,,,コザッキー,
,,,デビルスコーピオン,
,,,ファラオのしもべ,
,,,王家の守護者,
,,,スピリッツ・オブ・ファラオ,
,,,ナイトメアテーベ,
,,,アスワンの亡霊,
,,,神殿を守る者,
,,,ヌビアガード,
,,,レガシーハンター,
,,,砂バク,
,,,サンド・ギャンブラー,
,,,みつこぶラクーダ,
,,,ジャッカルの霊騎士,
,,,吸収天児,
,,,恵みの像,
,,,災いの像,
,,,魂を呼ぶ者,
,,,冥界の使者,
,,,グレイヴ・キーパー,
,,,ダブルコストン,
,,,再生ミイラ,
,,,人投げトロール,
,,,沼地の魔神王,
,,,オアシスの使者,
,,,スペシャルハリケーン,
,,,突撃指令,
,,,魂喰らいの魔刀,
,,,砂塵の結界,
,,,リバースソウル,
,,,魔力倹約術,
,,,ナイルの恵み,
,,,7,
,,,魔の試着部屋,
,,,弱肉一色,
,,,黒・魔・導,
,,,デルタ・アタッカー,
,,,サウザンドエナジー,
,,,トライアングルパワー,
,,,第三の棺,
,,,第二の棺,
,,,第一の棺,
,,,運命のドラ,
,,,砂漠の裁き,
,,,人海戦術,
,,,アヌビスの呪い,
,,,砂漠の光,
,,,デスカウンター,
,,,悪夢の迷宮,
,,,蘇りし魂,
,,,玉砕指令,
,,,エンド・オブ・アヌビス,
,,,破壊竜ガンドラ,
,,,異次元からの帰還,
,,,光のピラミッド,
,,,青眼の光龍,
,,,ファミリア・ナイト,
,,,レアメタル・ドラゴン,
,,,闇・道化師のペーテン,
,,,黒の魔法神官,
,,,アンドロ・スフィンクス,
,,,スフィンクス・テーレイア,
,,,スフィンクス・アンドロジュネス,
,,,ヘル・テンペスト,
,,,ワタポン,
,,,大木炭１８,
,,,ネオアクア・マドール,
,,,骨犬マロン,
,,,スカゴブリン,
,,,アルティメット・インセクト LV１,
,,,ホルスの黒炎竜 LV４,
,,,ホルスの黒炎竜 LV６,
,,,ホルスの黒炎竜 LV８,
,,,暗黒のミミック LV１,
,,,暗黒のミミック LV３,
,,,ミスティック・ソードマン LV２,
,,,ミスティック・ソードマン LV４,
,,,アームド・ドラゴン LV３,
,,,アームド・ドラゴン LV５,
,,,アームド・ドラゴン LV７,
,,,ホルスのしもべ,
,,,黒竜の雛,
,,,怨念のキラードール,
,,,忍者マスター SASUKE,
,,,幻惑のラフレシア,
,,,超熱血球児,
,,,氷帝メビウス,
,,,エレメント・ドラゴン,
,,,エレメント・ソルジャー,
,,,共鳴虫,
,,,仮面竜,
,,,マインド・オン・エア,
,,,ヒゲアンコウ,
,,,トロイホース,
,,,使徒喰い虫,
,,,激昂のムカムカ,
,,,派手ハネ,
,,,月の女戦士,
,,,おジャマ・キング,
,,,マスター・オブ・OZ,
,,,クリッチー,
,,,闇の量産工場,
,,,ハンマーシュート,
,,,記憶抹消,
,,,深淵の指名者,
,,,レベルアップ！,
,,,黒炎弾,
,,,四次元の墓,
,,,ツーマンセルバトル,
,,,大波小波,
,,,フュージョン・ウェポン,
,,,リチュアル・ウェポン,
,,,挑発,
,,,絶体絶命,
,,,スピリットバリア,
,,,忍法 空蝉の術,
,,,衰弱の霧,
,,,大暴落,
,,,グリード,
,,,セメタリー・ボム,
,,,ホーリーライフバリアー,
,,,THE トリッキー,
,,,グリーン・ガジェット,
,,,機動砦 ストロング・ホールド,
,,,レッド・ガジェット,
,,,イエロー・ガジェット,
,,,トリッキーズ・マジック４,
,,,罅割れゆく斧,
,,,ブロックマン,
,,,サイレント・ソードマン LV３,
,,,サイレント・ソードマン LV５,
,,,サイレント・ソードマン LV７,
,,,サイレント・マジシャン LV４,
,,,マジシャンズ・サークル,
,,,マジシャンズ・クロス,
,,,サイレント・マジシャン LV８,
,,,人造木人１８,
,,,マイティガード,
,,,魔貨物車両 ボコイチ,
,,,ハーピィ・ガール,
,,,創世神,
,,,創世者の化身,
,,,アルティメット・インセクト LV３,
,,,ミスティック・ソードマン LV６,
,,,強化支援メカ・ヘビーウェポン,
,,,エレメント・マジシャン,
,,,エレメント・ザウルス,
,,,霞の谷の大怪鳥,
,,,一撃必殺侍,
,,,ハーピィ・レディ１,
,,,ハーピィ・レディ２,
,,,ハーピィ・レディ３,
,,,逆巻く炎の精霊,
,,,炎帝テスタロス,
,,,イーグル・アイ,
,,,華麗なる潜入工作員,
,,,侵略の炎,
,,,忍び寄るデビルマンタ,
,,,漆黒の戦士 ワーウルフ,
,,,ミラージュ・ドラゴン,
,,,爆炎集合体 ガイヤ・ソウル,
,,,きつね火,
,,,巨大戦艦 ビッグ・コア,
,,,可変機獣 ガンナードラゴン,
,,,魔装機関車 デコイチ,
,,,トラップ処理班 Aチーム,
,,,錬金生物 ホムンクルス,
,,,闇魔界の竜騎士 ダークソード,
,,,キング・もけもけ,
,,,連続魔法,
,,,ハーピィの狩場,
,,,トライアングル・X・スパーク,
,,,与奪の首飾り,
,,,フリント,
,,,怒れるもけもけ,
,,,振り出し,
,,,死者転生,
,,,城壁壊しの大槍,
,,,軽量化,
,,,邪気退散,
,,,天罰,
,,,心鎮壷,
,,,レアメタル化・魔法反射装甲,
,,,コザッキーの研究成果,
,,,マインド・ハック,
,,,風林火山,
,,,連鎖炸薬,
,,,ピケルの魔法陣,
,,,魔力浄化,
,,,アストラルバリア,
,,,援護射撃,
,,,キャッスル・ゲート,
,,,所有者の刻印,
,,,スペースマンボウ,
,,,神竜 ラグナロク,
,,,格闘ねずみ チュー助,
,,,甲虫装甲騎士,
,,,ネフティスの鳳凰神,
,,,ネフティスの導き手,
,,,アルティメット・インセクト LV５,
,,,地帝グランマーグ,
,,,エレメント・ヴァルキリー,
,,,エレメント・デビル,
,,,本気ギレパンダ,
,,,またたびキャット,
,,,百獣王 ベヒーモス,
,,,ビッグホーン・マンモス,
,,,カンガルー・チャンプ,
,,,ハイエナ,
,,,ブレードラビット,
,,,機械犬マロン,
,,,ブラッド・マジシャン－煉獄の魔術師－,
,,,剣聖－ネイキッド・ギア・フリード,
,,,重装武者－ベン・ケイ,
,,,闇の住人 シャドウキラー,
,,,番兵ゴーレム,
,,,暴れ牛鬼,
,,,融合呪印生物－光,
,,,融合呪印生物－闇,
,,,融合呪印生物－地,
,,,暴風小僧,
,,,炎を支配する者,
,,,火炎鳥,
,,,レスキューキャット,
,,,ブレイン・ジャッカー,
,,,ガトリング・ドラゴン,
,,,竜魔人 キングドラグーン,
,,,鳳凰神の羽根,
,,,ポイズン・ファング,
,,,闇の護封剣,
,,,螺旋槍殺,
,,,拘束解除,
,,,遠心分離フィールド,
,,,契約の履行,
,,,再融合,
,,,百獣大行進,
,,,クロスカウンター,
,,,ポールポジション,
,,,罰ゲーム！,
,,,威嚇する咆哮,
,,,鳳翼の爆風,
,,,ゴブリンのやりくり上手,
,,,キャトルミューティレーション,
,,,本陣強襲,
,,,D.D.ダイナマイト,
,,,魔のデッキ破壊ウイルス,
,,,エレメンタルバースト,
,,,強引な安全協定,
,,,カース・オブ・ヴァンパイア,
,,,ユニオン・アタック,
,,,ブラッド・サッカー,
,,,威圧する魔眼,
,,,真紅眼の闇竜,
,,,ヴァンパイアジェネシス,
,,,正義の味方 カイバーマン,
,,,マシンナーズ・ソルジャー,
,,,マシンナーズ・ディフェンダー,
,,,マシンナーズ・スナイパー,
,,,督戦官コヴィントン,
,,,マシンナーズ・フォース,
,,,E・HERO フェザーマン,
,,,E・HERO バーストレディ,
,,,E・HERO クレイマン,
,,,E・HERO スパークマン,
,,,ハネクリボー,
,,,古代の機械巨人,
,,,古代の機械獣,
,,,古代の機械兵士,
,,,ミレニアム・スコーピオン,
,,,アルティメット・インセクト LV７,
,,,ロストガーディアン,
,,,ヒエラコスフィンクス,
,,,クリオスフィンクス,
,,,モアイ迎撃砲,
,,,メガロック・ドラゴン,
,,,ダミー・ゴーレム,
,,,グレイヴ・オージャ,
,,,マイン・ゴーレム,
,,,モンク・ファイター,
,,,マスターモンク,
,,,ガーディアン・スタチュー,
,,,メデューサ・ワーム,
,,,異次元の生還者,
,,,ミドル・シールド・ガードナー,
,,,白い忍者,
,,,地霊使いアウス,
,,,水霊使いエリア,
,,,火霊使いヒータ,
,,,風霊使いウィン,
,,,電池メン－単三型,
,,,デス・ウォンバット,
,,,ワイトキング,
,,,大邪神 レシェフ,
,,,精霊術師 ドリアード,
,,,E・HERO フレイム・ウィングマン,
,,,E・HERO サンダー・ジャイアント,
,,,受け継がれる力,
,,,ダブルアタック,
,,,充電器,
,,,ゴッドハンド・スマッシュ,
,,,ドリアードの祈り,
,,,大邪神の儀式,
,,,伝説の黒帯,
,,,ニトロユニット,
,,,うごめく影,
,,,鉄壁の布陣,
,,,ヒーロー・シグナル,
,,,ピケルの読心術,
,,,岩盤爆破,
,,,コザッキーの自爆装置,
,,,融合失敗,
,,,レベル変換実験室,
,,,岩投げアタック,
,,,墓場からの誘い,
,,,トークン謝肉祭,
,,,魔力終了宣告,
,,,王宮の陥落,
,,,孤高の格闘家,
,,,ヘルフレイムエンペラー,
,,,ミュータント・ハイブレイン,
,,,聖導騎士イシュザーク,
,,,海竜神－ネオダイダロス,
,,,サイクロイド,
,,,パトロイド,
,,,ジャイロイド,
,,,スチームロイド,
,,,ドリルロイド,
,,,ユーフォロイド,
,,,ジェット・ロイド,
,,,フレンドッグ,
,,,ダーク・カタパルター,
,,,E・HERO バブルマン,
,,,スチームジャイロイド,
,,,ユーフォロイド・ファイター,
,,,サイバー・ツイン・ドラゴン,
,,,サイバー・エンド・ドラゴン,
,,,パワー・ボンド,
,,,摩天楼 －スカイスクレイパー－,
,,,召喚僧サモンプリースト,
,,,邪神ドレッド・ルート,
,,,ハネクリボー LV１０,
,,,進化する翼,
,,,バブル・シャッフル,
,,,スパークガン,
,,,冥王竜ヴァンダルギオン,
,,,ソイツ,
,,,マッド・ロブスター,
,,,ジェリービーンズマン,
,,,サイバネティック・マジシャン,
,,,サイバネティック・サイクロプス,
,,,メカニカル・ハウンド,
,,,サイバーデーモン,
,,,ゴブリンエリート部隊,
,,,巨大戦艦 クリスタル・コア,
,,,G・コザッキー,
,,,不屈闘士レイレイ,
,,,守護霊アイリン,
,,,ドイツ,
,,,デスガエル,
,,,悪魂邪苦止,
,,,引きガエル,
,,,ディノインフィニティ,
,,,電池メン－単二型,
,,,黒魔導師クラン,
,,,D・D・M,
,,,融合回収,
,,,ミラクル・フュージョン,
,,,龍の鏡,
,,,システム・ダウン,
,,,死の合唱,
,,,謙虚な壺,
,,,シエンの間者,
,,,ファイアーダーツ,
,,,地霊術－「鉄」,
,,,水霊術－「葵」,
,,,火霊術－「紅」,
,,,風霊術－「雅」,
,,,ライバル登場！,
,,,マジカル・エクスプロージョン,
,,,ライジング・エナジー,
,,,異次元の落とし穴,
,,,徴兵令,
,,,ディメンション・ウォール,
,,,反撃準備,
,,,方舟の選別,
,,,闇よりの罠,
,,,アルカナ ナイトジョーカー,
,,,ギルフォード・ザ・レジェンド,
,,,荒野の女戦士,
,,,神剣－フェニックスブレード,
,,,デスサイズ・キラー,
,,,E・HERO シャイニング・フレア・ウィングマン,
,,,レベル調整,
,,,おジャマッスル,
,,,おジャマジック,
,,,V－タイガー・ジェット,
,,,ブレード・スケーター,
,,,リボーン・ゾンビ,
,,,地獄戦士,
,,,W－ウィング・カタパルト,
,,,炎獄魔人ヘル・バーナー,
,,,E・HERO エッジマン,
,,,E・HERO ワイルドマン,
,,,ハイドロゲドン,
,,,オキシゲドン,
,,,ウォーター・ドラゴン,
,,,エトワール・サイバー,
,,,VW－タイガー・カタパルト,
,,,VWXYZ－ドラゴン・カタパルトキャノン,
,,,サイバー・ブレイダー,
,,,E・HERO ランパートガンナー,
,,,E・HERO テンペスター,
,,,E・HERO ワイルドジャギーマン,
,,,ヘル・アライアンス,
,,,フェザー・ショット,
,,,ボンディング－H２O,
,,,ヘル・ポリマー,
,,,ヘル・ブラスト,
,,,ヒーローバリア,
,,,フェザー・ウィンド,
,,,暗黒界の騎士 ズール,
,,,巨大戦艦 テトラン,
,,,ナノブレイカー,
,,,連弾の魔術師,
,,,暗黒界の尖兵 ベージ,
,,,暗黒界の狩人 ブラウ,
,,,暗黒界の狂王 ブロン,
,,,暗黒界の軍神 シルバ,
,,,暗黒界の武神 ゴルド,
,,,暗黒界の斥候 スカー,
,,,憑依装着－アウス,
,,,憑依装着－エリア,
,,,憑依装着－ヒータ,
,,,憑依装着－ウィン,
,,,貪欲な壺,
,,,暗黒界の雷,
,,,ブランチ,
,,,ボスラッシュ,
,,,暗黒界に続く結界通路,
,,,暗黒よりの軍勢,
,,,闇の取引,
,,,二者一両損,
,,,ふるい落とし,
,,,同姓同名同盟,
,,,ゲットライド！,
,,,融合禁止エリア,
,,,レベル制限A地区,
,,,アームド・チェンジャー,
,,,テュアラティン,
,,,E・HERO ネクロダークマン,
,,,ヒーロー・ヘイロー,
,,,E・HERO マッドボールマン,
,,,黒魔導の執行官,
,,,魔導獣 ケルベロス,
,,,マジックブラスト,
,,,King of Destruction - Xexex,
,,,Queen of Fate - Eternia,
,,,E・HERO スチーム・ヒーラー,
,,,バースト・リターン,
,,,バブル・ショット,
,,,バブルイリュージョン,
,,,クレイ・チャージ,
,,,アームド・ドラゴン LV１０,
,,,打ち出の小槌,
,,,地獄の暴走召喚,
,,,防御輪,
,,,復活の墓穴,
,,,ランサー・ドラゴニュート,
,,,ミスト・ボディ,
,,,アックス・ドラゴニュート,
,,,ホワイト・ホーンズ・ドラゴン,
,,,闇紅の魔導師,
,,,神炎皇ウリア,
,,,降雷皇ハモン,
,,,幻魔皇ラビエル,
,,,E・HERO バブルマン・ネオ,
,,,ヒーロー・キッズ,
,,,サイバー・バリア・ドラゴン,
,,,サイバー・レーザー・ドラゴン,
,,,古代の歯車,
,,,ヒーローハート,
,,,磁力の召喚円 LV２,
,,,古代の機械工場,
,,,古代の採掘機,
,,,幻魔の殉教者,
,,,サイクロン・ブーメラン,
,,,フォトン・ジェネレーター・ユニット,
,,,古代の機械城,
,,,スーパージュニア対決！,
,,,ミラクル・キッズ,
,,,アタック・リフレクター・ユニット,
,,,ダメージ・コンデンサー,
,,,埋蔵金の地図,
,,,ヒーロースピリッツ,
,,,古代の機械砲台,
,,,プロト・サイバー・ドラゴン,
,,,瞬着ボマー,
,,,機械王－プロトタイプ,
,,,巨大戦艦 カバード・コア,
,,,異次元への案内人,
,,,チェイン・スラッシャー,
,,,封魔の伝承者,
,,,天下人 紫炎,
,,,寄生体ダニー,
,,,ゴキポン,
,,,静寂虫,
,,,電動刃虫,
,,,オオアリクイクイアリ,
,,,セイバー・ビートル,
,,,デビルドーザー,
,,,悪魔ガエル,
,,,魔法の国の王女－ピケル,
,,,魔法の国の王女－クラン,
,,,記憶破壊者,
,,,増幅する悪意,
,,,グラスファントム,
,,,サンドモス,
,,,神竜－エクセリオン,
,,,破滅の女神ルイン,
,,,終焉の王デミス,
,,,ガエル・サンデス,
,,,継承の印,
,,,王女の試練,
,,,エンド・オブ・ザ・ワールド,
,,,輪廻転生,
,,,因果切断,
,,,ロスト・ネクスト,
,,,ジェネレーション・チェンジ,
,,,全弾発射,
,,,成功確率０％,
,,,オプションハンター,
,,,ゴブリンのその場しのぎ,
,,,誤作動,
,,,クリボーを呼ぶ笛,
,,,E・HERO エリクシーラー,
,,,守護神エクゾード,
,,,グレート・スピリット,
,,,断層地帯,
,,,E・HERO ワイルド・ウィングマン,
,,,E・HERO ネクロイド・シャーマン,
,,,黄金のホムンクルス,
,,,原始太陽ヘリオス,
,,,ヘリオス・デュオ・メギストス,
,,,ヘリオス・トリス・メギストス,
,,,E・HERO ネオス,
,,,E・HERO フェニックスガイ,
,,,E・HERO シャイニング・フェニックスガイ,
,,,E・HERO セイラーマン,
,,,D-HERO デビルガイ,
,,,D-HERO ダイハードガイ,
,,,D-HERO ダイヤモンドガイ,
,,,D-HERO ドレッドガイ,
,,,サイバー・ジラフ,
,,,サイバー・フェニックス,
,,,サイバー・チュチュ,
,,,サイバー・ジムナティクス,
,,,サイバー・プリマ,
,,,ガードペナルティ,
,,,幽獄の時計塔,
,,,ミスフォーチュン,
,,,グランドクロス,
,,,H－ヒートハート,
,,,E－エマージェンシーコール,
,,,R－ライトジャスティス,
,,,O－オーバーソウル,
,,,ヒーローフラッシュ！！,
,,,エレメンタル・チャージ,
,,,デステニー・デストロイ,
,,,D－タイム,
,,,デステニー・シグナル,
,,,D－シールド,
,,,エレメンタル・アブソーバー,
,,,マクロコスモス,
,,,サーチライトメン,
,,,ビクトリー・バイパー XX０３,
,,,超電磁稼動ボルテック・ドラゴン,
,,,ハーピィズペット仔竜,
,,,光神機－閃空,
,,,光神機－桜火,
,,,光神機－轟龍,
,,,豊穣のアルテミス,
,,,ロイヤルナイツ,
,,,紫光の宣告者,
,,,緑光の宣告者,
,,,救済のレイヤード,
,,,閃光の追放者,
,,,裁きを下す者－ボルテニス,
,,,ガード・ドッグ,
,,,真空イタチ,
,,,荒ぶるアウス,
,,,逆巻くエリア,
,,,燃え盛るヒータ,
,,,吹き荒れるウィン,
,,,電池メン－単一型,
,,,疾風鳥人ジョー,
,,,光神化,
,,,パワーカプセル,
,,,次元の裂け目,
,,,ライフチェンジャー,
,,,ゴッドバードアタック,
,,,奇跡の光臨,
,,,人造天使,
,,,キックバック,
,,,神鳥シムルグ,
,,,ソニック・シューター,
,,,ヒステリック・パーティー,
,,,パペット・キング,
,,,サイバー・ダイナソー,
,,,E・HERO フォレストマン,
,,,E・HERO ジ・アース,
,,,E・HERO オーシャン,
,,,キメラテック・オーバー・ドラゴン,
,,,エクスプレスロイド,
,,,キューキューロイド,
,,,サイバー・サモン・ブラスター,
,,,サブマリンロイド,
,,,スーパービークロイド－ジャンボドリル,
,,,ステルスロイド,
,,,デコイロイド,
,,,トラックロイド,
,,,レスキューキューロイド,
,,,レスキューロイド,
,,,進入禁止！No Entry！！,
,,,スーパーチャージ,
,,,ビークロイド・コネクション・ゾーン,
,,,ワンダーガレージ,
,,,D-HERO ダガーガイ,
,,,D-HERO ダッシュガイ,
,,,D-HERO ダブルガイ,
,,,D-HERO ディフェンドガイ,
,,,D-HERO ドゥームガイ,
,,,D-HERO ドグマガイ,
,,,ダーク・シティ,
,,,死皇帝の陵墓,
,,,D－チェーン,
,,,D－スピリッツ,
,,,デステニー・ミラージュ,
,,,C・ドルフィーナ,
,,,E・HERO ブラック・ネオス,
,,,E・HERO アクア・ネオス,
,,,E・HERO フレア・ネオス,
,,,N・アクア・ドルフィン,
,,,N・エア・ハミングバード,
,,,N・グロー・モス,
,,,N・ブラック・パンサー,
,,,N・フレア・スカラベ,
,,,コンタクト,
,,,ネオスペース,
,,,暗黒ステゴ,
,,,究極恐獣,
,,,星見鳥ラリス,
,,,フェイク・ヒーロー,
,,,魂の共有－コモンソウル,
,,,コーリング・マジック,
,,,HERO’S ボンド,
,,,竜の騎士,
,,,ゼータ・レティキュラント,
,,,セイバーザウルス,
,,,奇跡のジュラシック・エッグ,
,,,暗黒プテラ,
,,,ベビケラサウルス,
,,,エーリアン・グレイ,
,,,エーリアン・マーズ,
,,,エーリアン・スカル,
,,,エーリアン・ハンター,
,,,エーリアン・ウォリアー,
,,,エーリアン・マザー,
,,,宇宙獣ガンギル,
,,,円盤ムスキー,
,,,ミステリーサークル,
,,,運命の分かれ道,
,,,大気圏外射撃,
,,,化石発掘,
,,,洗脳光線,
,,,王宮の重税,
,,,旋風剣,
,,,トイ・マジシャン,
